Country Name,Country Code,Series Name,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Burkina Faso,BFA,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.789,88.895,88.727,88.555,88.379,88.199,88.017,87.832,87.639,87.438,87.233,87.025,86.813,86.598,86.382,86.165,85.948,85.733,85.521,85.306,85.089,84.869,84.644,84.416,84.185,83.95,83.711,83.47,83.227,82.983,81.152,80.544,79.529,77.906,76.222,76.135
Burundi,BDI,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.713,89.125,88.525,87.706,86.889,86.243,85.357,84.376,83.413,82.67,81.92,81.197,80.491,79.803,79.157,78.506,77.857,77.678,77.524,77.522,77.542,77.457,77.404,77.389,77.359,78.151,78.805,79.062,78.978,78.553,78.534,77.651,77.919,77.581,77.215,76.971
Cabo Verde,CPV,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.803,83.708,82.619,81.532,80.445,79.358,78.268,77.176,76.077,74.971,73.846,72.695,71.531,70.363,69.192,68.02,66.845,65.669,64.489,63.305,66.894,66.793,66.697,66.6,66.503,66.405,66.307,66.208,62.372,64.304,59.893,60.563,64.281,63.845,63.458,63.397
Cambodia,KHM,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.955,82.949,82.937,82.917,82.491,82.519,82.503,82.467,82.472,82.601,83.469,84.32,85.158,85.985,86.653,87.302,87.936,88.551,86.695,87.158,88.589,89.397,88.07,86.589,86.745,86.354,88.076,86.849,87.432,88.011,87.833,85.799,87.927,87.885,87.842,87.816
Cameroon,CMR,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.084,87.09,87.08,87.038,86.97,86.877,86.747,86.582,86.425,86.294,86.169,86.029,85.878,85.743,85.64,85.564,85.502,85.437,84.388,83.274,82.092,80.96,79.782,78.558,77.287,76.782,76.334,75.919,75.491,75.02,73.934,73.711,74.236,74.194,74.14,73.941
Canada,CAN,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.957,74.931,73.702,73.17,72.959,72.305,71.98,72.044,71.939,72.208,72.158,72.075,72.829,73.251,73.016,72.66,72.57,72.626,72.814,72.183,71.756,71.705,71.534,71.405,70.977,70.942,70.526,70.637,70.246,70.476,68.927,69.863,69.547,69.693,69.169,68.937
Caribbean small states,CSS,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.34177918,76.30189229,76.13556199,76.20656617,76.71342759,77.11240336,76.60346604,76.64722137,76.49458115,76.39430539,76.30726648,76.03017071,75.74292608,75.7739432,75.86795091,75.86230233,75.66238326,75.70761215,75.20461216,75.00370956,74.32742798,73.83019819,73.68038391,73.68385756,73.42742996,73.21780829,72.44316457,72.08411354,71.85083979,70.69307365,66.26425925,67.08175194,68.30441798,68.65348952,68.33136389,68.26814008
Cayman Islands,CYM,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.697,78.98,79.183,79.312,79.387,79.487,79.572,79.584,79.562,79.503,79.416,79.398,79.343,79.238,79.196,79.153,79.2,79.305,79.374,79.699,80.094,80.368,80.808,81.295,81.946,82.365,82.359,82.392,82.42,82.451,81.716,81.519,82.69,82.804,82.803,82.756
Central Europe and the Baltics,CEB,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.5975628,65.78265872,65.66185751,65.2523682,64.77316616,64.22943483,63.89002742,63.67105374,63.35405219,62.96498333,62.48452614,62.64375633,62.26005129,62.09187738,62.05151432,62.16433842,62.07748666,62.27255179,62.70001517,62.07548013,62.76327399,62.6687545,62.97342899,63.19302058,63.72299201,64.06391809,64.24102234,64.83981837,64.9426246,65.15779396,65.1329281,65.6255067,65.78412765,65.64689572,65.15222991,64.85447
